PyQt4-help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDL-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDL-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDL-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDL-help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDL2-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDL2-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDL2-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDL2-static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDL_sound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDL_sound-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDL_sound-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDL_sound-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDL_sound-help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperLU-debuginfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperLU-debugsource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperLU-devel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuperLU-help,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
